GEN,REP,YPP
G1,1,3.66
G2,1,5.35
G3,1,4.6
G4,1,8.44
G5,1,3.8
G6,1,3.04
G7,1,5.34
G8,1,3.33
G9,1,6.85
G10,1,2.7
G11,1,3.28
G12,1,6.39
G13,1,3.48
G14,1,5.15
G15,1,3.11
G16,1,8.3
G17,1,6.02
G18,1,7.37
G19,1,3.58
G20,1,4.32
G21,1,3.29
G22,1,5.44
G23,1,8.09
G24,1,7.95
G25,1,4.42
G26,1,6.35
G27,1,7.41
G28,1,4.84
G29,1,4.26
G30,1,5.42
G1,2,2.63
G2,2,3.53
G3,2,4.4
G4,2,7.28
G5,2,5.26
G6,2,3.09
G7,2,7.24
G8,2,3.78
G9,2,4.36
G10,2,3.15
G11,2,3.88
G12,2,4.78
G13,2,5.12
G14,2,4.67
G15,2,3.16
G16,2,7.96
G17,2,6.54
G18,2,6.52
G19,2,5.17
G20,2,4.84
G21,2,4.14
G22,2,3.88
G23,2,7.14
G24,2,6.84
G25,2,4.02
G26,2,8.75
G27,2,8.01
G28,2,5.95
G29,2,4.65
G30,2,6.31
G1,3,3.85
G2,3,4.71
G3,3,3.68
G4,3,8.58
G5,3,4.09
G6,3,3.49
G7,3,5.29
G8,3,4.98
G9,3,5.61
G10,3,2.39
G11,3,3.88
G12,3,5.01
G13,3,3.94
G14,3,6.14
G15,3,3.22
G16,3,5.94
G17,3,7.6
G18,3,7.05
G19,3,4.92
G20,3,5.92
G21,3,4.59
G22,3,5.77
G23,3,7.99
G24,3,9.41
G25,3,4.36
G26,3,8.59
G27,3,7.26
G28,3,7.27
G29,3,3.73
G30,3,7.29
